# Spare PTC 20m, 27.5 deg, 235 psi. LPF applied. September 07, 2023 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  28.66788    2.13317    0.00000    0.00000    0.05933    0.00854
  28.87903    2.58294    0.00000    0.30000    0.05864    0.04079
  29.05805    3.06354    0.00000    0.60000    0.05879    0.03109
  29.23339    3.41544    0.00000    0.90000    0.05808    0.04019
  29.41464    3.73980    0.00000    1.20000    0.05680    0.04511
  29.77463    4.31177    0.00000    1.80000    0.05367    0.05026
  29.57417    2.13554    6.00000    0.00000    0.05534    0.00847
  29.82939    2.57957    6.00000    0.30000    0.05306    0.04075
  30.07155    3.05617    6.00000    0.60000    0.05052    0.03113
  30.27929    3.40437    6.00000    0.90000    0.07356    0.03996
  30.48443    3.72559    6.00000    1.20000    0.04785    0.04470
  30.81505    4.28913    6.00000    1.80000    0.04629    0.04996
  30.66303    2.13423   12.00000    0.00000    0.04692    0.00848
  30.92204    2.56133   12.00000    0.30000    0.04653    0.04085
  31.12666    3.03843   12.00000    0.60000    0.04865    0.03077
  31.32658    3.38166   12.00000    0.90000    0.04908    0.03980
  31.53751    3.69979   12.00000    1.20000    0.04765    0.04472
  31.89044    4.25792   12.00000    1.80000    0.04549    0.04930
  32.81671    2.13431   24.00000    0.00000    0.04625    0.00847
  33.13276    2.53335   24.00000    0.30000    0.04499    0.04065
  33.37957    3.00860   24.00000    0.60000    0.04422    0.03065
  33.62344    3.34402   24.00000    0.90000    0.04356    0.03866
  33.85843    3.65544   24.00000    1.20000    0.04200    0.04425
  34.30140    4.19496   24.00000    1.80000    0.04001    0.04864
  34.00023    2.13500   30.00000    0.00000    0.04071    0.00845
  34.32140    2.52361   30.00000    0.30000    0.03945    0.04042
  34.56139    2.99554   30.00000    0.60000    0.03843    0.03062
  34.77132    3.32705   30.00000    0.90000    0.03729    0.03831
  35.05645    3.63482   30.00000    1.20000    0.04496    0.04372
  35.60016    4.16448   30.00000    1.80000    0.03382    0.04810
  35.36965    2.13836   36.00000    0.00000    0.03544    0.00847
  35.73827    2.52203   36.00000    0.30000    0.03352    0.04000
  36.04550    2.98703   36.00000    0.60000    0.03217    0.03029
  36.34048    3.31314   36.00000    0.90000    0.03114    0.03776
  36.60459    3.61619   36.00000    1.20000    0.03029    0.04296
  37.09720    4.13249   36.00000    1.80000    0.02877    0.04757
  37.00689    2.14814   43.00000    0.00000    0.02898    0.00903
  37.30894    2.53422   43.00000    0.30000    0.02931    0.03977
  37.52782    2.98394   43.00000    0.60000    0.02868    0.03009
  37.78028    3.30221   43.00000    0.90000    0.02798    0.03710
  38.06880    3.60045   43.00000    1.20000    0.02726    0.04239
  38.60686    4.10652   43.00000    1.80000    0.02510    0.04667
  38.87181    2.17258   51.00000    0.00000    0.02410    0.01156
  39.18317    2.57791   51.00000    0.30000    0.02362    0.04002
  39.44601    2.99950   51.00000    0.60000    0.02331    0.02962
  39.70301    3.30717   51.00000    0.90000    0.02207    0.03672
  39.95538    3.59684   51.00000    1.20000    0.02178    0.04198
  40.49583    4.09141   51.00000    1.80000    0.02017    0.04623
