# PTC 0 deg Re-analysis May 10, 2021 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  24.74588    2.08035    0.00000    0.00000    0.17251    0.00581
  24.92748    2.38723    0.00000    0.30000    0.16553    0.03396
  25.10972    2.97461    0.00000    0.60000    0.15729    0.02707
  25.28305    3.36328    0.00000    0.90000    0.14782    0.03687
  25.46895    3.72614    0.00000    1.20000    0.13696    0.04307
  25.81942    4.35174    0.00000    1.80000    0.12224    0.04795
  25.70226    2.07832    6.00000    0.00000    0.12912    0.00604
  25.90790    2.37619    6.00000    0.30000    0.11998    0.03361
  26.08471    2.96445    6.00000    0.60000    0.11217    0.02758
  26.26799    3.35396    6.00000    0.90000    0.10624    0.03678
  26.44341    3.71351    6.00000    1.20000    0.10155    0.04214
  26.77334    4.33622    6.00000    1.80000    0.09205    0.04820
  26.63856    2.07723   12.00000    0.00000    0.09345    0.00589
  26.87142    2.36589   12.00000    0.30000    0.08960    0.03287
  27.07912    2.95401   12.00000    0.60000    0.08265    0.02806
  27.29395    3.34117   12.00000    0.90000    0.07906    0.03635
  27.50438    3.70023   12.00000    1.20000    0.07636    0.04281
  27.83915    4.31856   12.00000    1.80000    0.06785    0.04718
  28.59579    2.07861   24.00000    0.00000    0.05714    0.00614
  28.82030    2.35029   24.00000    0.30000    0.05827    0.03144
  29.02567    2.92921   24.00000    0.60000    0.05829    0.02822
  29.20955    3.30826   24.00000    0.90000    0.05594    0.03577
  29.38984    3.66014   24.00000    1.20000    0.05397    0.04140
  29.74817    4.25897   24.00000    1.80000    0.05197    0.04679
  29.58627    2.08324   30.00000    0.00000    0.05282    0.00625
  29.80319    2.34853   30.00000    0.30000    0.04987    0.03189
  29.99525    2.91873   30.00000    0.60000    0.05113    0.02847
  30.17782    3.29252   30.00000    0.90000    0.04924    0.03528
  30.36284    3.64050   30.00000    1.20000    0.04759    0.04106
  30.75765    4.22870   30.00000    1.80000    0.04660    0.04691
  30.66382    2.09721   36.00000    0.00000    0.04647    0.00678
  30.86110    2.37415   36.00000    0.30000    0.04607    0.03347
  31.06858    2.92307   36.00000    0.60000    0.04324    0.02827
  31.27727    3.28877   36.00000    0.90000    0.04164    0.03475
  31.53094    3.63049   36.00000    1.20000    0.04358    0.04047
  32.00288    4.20667   36.00000    1.80000    0.04499    0.04565
  32.36970    2.14517   43.00000    0.00000    0.04152    0.00935
  32.64137    2.52438   43.00000    0.30000    0.04285    0.03929
  32.89015    2.99378   43.00000    0.60000    0.04030    0.02801
  33.13183    3.33452   43.00000    0.90000    0.03909    0.03666
  33.37466    3.66041   43.00000    1.20000    0.04023    0.04088
  33.86073    4.21247   43.00000    1.80000    0.03563    0.04641
  34.71729    2.37809   51.00000    0.00000    0.03457    0.03935
  34.91596    2.83205   51.00000    0.30000    0.03464    0.03648
  35.12751    3.16396   51.00000    0.60000    0.03312    0.03414
  35.32585    3.46732   51.00000    0.90000    0.03325    0.04019
  35.55016    3.75800   51.00000    1.20000    0.03125    0.04453
  36.01847    4.27845   51.00000    1.80000    0.02916    0.04806
