# PTC 48 deg Re-analysis May 10, 2021 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  28.05859    2.11497    0.00000    0.00000    0.05842    0.00687
  28.24092    2.42933    0.00000    0.30000    0.05683    0.03412
  28.40523    2.96503    0.00000    0.60000    0.05461    0.02726
  28.55598    3.33135    0.00000    0.90000    0.05539    0.03475
  28.74203    3.67528    0.00000    1.20000    0.05480    0.03980
  29.08591    4.26185    0.00000    1.80000    0.05414    0.04446
  29.08952    2.14496    6.00000    0.00000    0.05429    0.00840
  29.26766    2.50028    6.00000    0.30000    0.05210    0.03662
  29.43143    2.99060    6.00000    0.60000    0.05098    0.02708
  29.61637    3.34302    6.00000    0.90000    0.04971    0.03515
  29.78228    3.67580    6.00000    1.20000    0.04804    0.04005
  30.12760    4.24609    6.00000    1.80000    0.04685    0.04525
  30.20752    2.21925   12.00000    0.00000    0.04561    0.01857
  30.38296    2.65864   12.00000    0.30000    0.04488    0.04058
  30.55512    3.06031   12.00000    0.60000    0.04116    0.02952
  30.72040    3.39428   12.00000    0.90000    0.04094    0.03683
  30.89358    3.71014   12.00000    1.20000    0.04303    0.04144
  31.28061    4.25913   12.00000    1.80000    0.04230    0.04626
  33.37634    2.99276   24.00000    0.00000    0.03828    0.04020
  33.62585    3.24011   24.00000    0.30000    0.03473    0.04119
  33.87145    3.50415   24.00000    0.60000    0.03429    0.04522
  34.12308    3.76087   24.00000    0.90000    0.03342    0.04704
  34.36219    3.99812   24.00000    1.20000    0.03278    0.04698
  34.81477    4.47849   24.00000    1.80000    0.03134    0.05318
  35.63377    3.52449   30.00000    0.00000    0.02905    0.05668
  35.83076    3.76111   30.00000    0.30000    0.02774    0.05451
  36.03228    3.96516   30.00000    0.60000    0.02638    0.05747
  36.17869    4.14370   30.00000    0.90000    0.02535    0.05614
  36.31745    4.34834   30.00000    1.20000    0.02522    0.05578
  36.69413    4.69535   30.00000    1.80000    0.02522    0.05802
  37.48952    3.86111   36.00000    0.00000    0.02452    0.06516
  37.65361    4.03840   36.00000    0.30000    0.02177    0.06180
  37.87257    4.25436   36.00000    0.60000    0.02257    0.06175
  38.07190    4.51104   36.00000    0.90000    0.02113    0.06708
  38.30284    4.67586   36.00000    1.20000    0.05850    0.06379
  38.75846    4.94010   36.00000    1.80000    0.02073    0.06168
  40.05117    4.30782   43.00000    0.00000    0.01842    0.07576
  40.21424    4.51415   43.00000    0.30000    0.02065    0.07513
  40.50272    4.66497   43.00000    0.60000    0.02339    0.07077
  40.84100    4.81443   43.00000    0.90000    0.03461    0.06954
  41.11437    4.94151   43.00000    1.20000    0.01574    0.06903
  41.69280    5.16496   43.00000    1.80000    0.01511    0.07076
  43.99476    4.96242   51.00000    0.00000    0.02103    0.08434
  44.23358    5.05568   51.00000    0.30000    0.01380    0.08539
  44.47880    5.13371   51.00000    0.60000    0.01411    0.08306
  44.70556    5.20787   51.00000    0.90000    0.01299    0.08329
  44.94803    5.28285   51.00000    1.20000    0.01380    0.08707
  45.37160    5.42210   51.00000    1.80000    0.01278    0.08480
