# PTC 41 deg Re-analysis May 10, 2021 
#  40KTemp(K)	 4KTemp(K)	 40KPower(W)	 4KPower(W)	 40KTemp std 	 4KTemp std
  26.57990    2.09520    0.00000    0.00000    0.09612    0.00614
  26.78539    2.40442    0.00000    0.30000    0.08927    0.03257
  26.97714    2.96944    0.00000    0.60000    0.08581    0.02736
  27.15832    3.35039    0.00000    0.90000    0.08181    0.03618
  27.34281    3.70447    0.00000    1.20000    0.07732    0.04126
  27.67172    4.31258    0.00000    1.80000    0.07056    0.04685
  27.60652    2.09792    6.00000    0.00000    0.07120    0.00634
  27.77646    2.40359    6.00000    0.30000    0.06641    0.03327
  27.94412    2.95871    6.00000    0.60000    0.06222    0.02753
  28.10382    3.33689    6.00000    0.90000    0.06295    0.03621
  28.24897    3.68539    6.00000    1.20000    0.06067    0.04119
  28.55305    4.28260    6.00000    1.80000    0.05702    0.04609
  28.49027    2.10816   12.00000    0.00000    0.05580    0.00674
  28.65898    2.41362   12.00000    0.30000    0.05739    0.03316
  28.81476    2.95573   12.00000    0.60000    0.05696    0.02720
  28.98687    3.32526   12.00000    0.90000    0.05804    0.03513
  29.15143    3.66931   12.00000    1.20000    0.05688    0.04068
  29.50426    4.25595   12.00000    1.80000    0.05073    0.04525
  30.65097    2.19264   24.00000    0.00000    0.04386    0.01382
  30.87827    2.61585   24.00000    0.30000    0.04408    0.04095
  31.08586    3.03799   24.00000    0.60000    0.04313    0.02853
  31.29698    3.37711   24.00000    0.90000    0.04361    0.03674
  31.51644    3.69711   24.00000    1.20000    0.04518    0.04064
  31.94769    4.24580   24.00000    1.80000    0.04272    0.04619
  32.19859    2.45035   30.00000    0.00000    0.04314    0.04148
  32.37820    2.86439   30.00000    0.30000    0.04254    0.03457
  32.54019    3.18415   30.00000    0.60000    0.04231    0.03369
  32.77982    3.49127   30.00000    0.90000    0.04158    0.03989
  33.03069    3.78534   30.00000    1.20000    0.04218    0.04338
  33.45181    4.30737   30.00000    1.80000    0.04035    0.04632
  33.82957    2.79875   36.00000    0.00000    0.03785    0.04480
  34.01898    3.12268   36.00000    0.30000    0.03676    0.03681
  34.22851    3.41374   36.00000    0.60000    0.03710    0.04291
  34.42055    3.69048   36.00000    0.90000    0.03622    0.04564
  34.62083    3.93106   36.00000    1.20000    0.03558    0.04600
  35.04094    4.42369   36.00000    1.80000    0.03352    0.05107
  35.80358    3.12838   43.00000    0.00000    0.03060    0.04262
  35.97847    3.39582   43.00000    0.30000    0.03001    0.04666
  36.23694    3.67304   43.00000    0.60000    0.02903    0.05009
  36.54650    3.92923   43.00000    0.90000    0.06505    0.05108
  36.82665    4.15633   43.00000    1.20000    0.02863    0.05202
  37.26400    4.59120   43.00000    1.80000    0.05629    0.05744
  38.66854    3.69631   51.00000    0.00000    0.02186    0.06206
  38.95285    3.89979   51.00000    0.30000    0.02307    0.06109
  39.17741    4.08780   51.00000    0.60000    0.02903    0.06028
  39.40177    4.27825   51.00000    0.90000    0.02159    0.05966
  39.64556    4.51788   51.00000    1.20000    0.01776    0.06325
  40.15060    4.81582   51.00000    1.80000    0.01713    0.05761
